"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2015006087,"03","5","613 W OAK LN","","GLENOLDEN","PA","19036","ADVANCE TRANSIT MIX","6104612188","073280","","","","","N","","","","","","N","","2","","04"
2015012405,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","11"
2015012711,"99","1","E LORAINE","","GLENDALE","CA","91207","BLUE COAST","9999999999","999999","","","","","N","","","","","","N","","1","","08"
2015012818,"02","8","8312 STATE ROAD UNIT #1","","PHILADELPHIA","PA","19136","SIRKAWAN TRANSPORTATION","2153331441","999999","","","","","N","","","","","","N","","1","00513746","10"
2015018215,"05","1","501 SE 5TH ST","","MILFORD","DE","19963","BURRIS EXPRESS","3028395148","080000","","","","","N","","","","","","N","","1","00006735","08"
2015018215,"04","1","67 W MICHIGAN AVE","","BATTLE CREEK","MI","49016","GODFREY TRANSPORT INC","8886493028","065000","","","","","N","","","","","","N","","3","00732581","08"
2015018278,"05","1","1006 U.S. RT 11","","KIRKWOOD","NY","13795","WILLOW RUN FOOD","6073385221","999999","","","","","N","","","","","","U","","2","00027814","08"
2015020733,"02","8","1234 MARKET ST","","PHILADELPHIA","PA","19107","SEPTA","2155807800","060000","","","","","N","","","","","","N","","1","","11"
2015021949,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","10"
2015031017,"99","9","SUSSEX","","BROOMALL","PA","19008","ENERGY PRODUCT SERVICES","9999999999","015000","","","","","N","","","","","","N","","1","","05"
2015034178,"02","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","2155807800","550000","","","","","N","","","","","","N","","2","","11"
2015035064,"05","1","4411 JACKSON RIDGE AVE","","BAKERSFIELD","CA","93313","F G S CARGO","5599309095","080000","","","","","N","","","","","","N","","1","01751644","08"
2015035195,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2015036553,"05","1","174 CABOT ST","","W BABYLON","NY","11704","RIEGEL TRANSPORTATION DBA RTI","6317531500","080000","","","","","N","","","","","","N","","1","00528436","08"
2015036590,"02","8","1234 MARKET STREET","","PHILADELPHIA","PA","19107","SEPTA","9999999999","020000","","","","","N","","","","","","N","","1","","11"
2015038241,"99","3","PO BOX 564","","WEST CHESTER","PA","19381","A. DUIE PYLE","6106965800","080000","","","","","N","","","","","","N","","2","00113594","06"
2015039533,"99","1","RTE 130","","PENNSAUKEN","NJ","08110","CANADA DRY","9999999999","999999","","","","","N","","","","","","N","","1","","05"
2015042952,"05","9","10 INDUSTRIAL HWY, BLFG","","LESTER","PA","19029","SUNOCO","2673394138","080000","","","","","N","","","","","","N","","2","99999999","06"
2015049579,"99","9","5910 N 12TH","","PHILA","PA","19141","WE GET IT DONE GROUP INC","9999999999","014500","","","","","N","","","","","","N","","1","","05"
2015051434,"99","9","701 MARKET ST STE 5400","","PHILA","PA","19106","PHILA PARKING AUTHORITY","9999999999","016000","","","","","N","","","","","","N","","1","","05"
2015056631,"99","9","87 VALLEY ROAD","","PLYMOUTH","MA","02360","G CURTIN TRANSPORT","5088333115","999999","","","","","N","","","","","","N","","2","00084386","08"
2015059099,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","3","","11"
2015059189,"05","1","352 CENTRAL AVE APT.3","","ORANGE","NJ","07050","ELIZABETH N. THAA","9733370257","080000","","","","","N","","","","","","N","","1","01855826","09"
2015063019,"99","9","437 TONNELE AVE","","JERSEY CITY","NJ","07306","MTLR CORPORATION","7183915300","","","","","","","","","","","","N","","2","01182923","99"
2015064509,"05","9","1231 WEST RIDGE PIKE","","CONSHOHOCKEN","PA","19428","G.L. SAYRE PACLEASE","6102772000","080000","","","","","N","","","","","","N","","1","00012495","08"
2015066254,"99","9","5701 TACONY","","PHILA","PA","19135","DIETZ AND WATSON INC","9999999999","033000","","","","","N","","","","","","N","","2","","05"
2015069748,"99","9","40 N INDEPENDENCE","","NEW CASTLE","DE","19720","MASON TRANSPORTATION INC","9999999999","999999","","","","","N","","","","","","N","","2","","08"
2015070619,"99","9","100 S BROAD ST","","PHILADELPHIA","PA","19110","CITY OF PHILADELPHIA","2156852193","035000","","","","","N","","","","","","U","","1","","09"
2015072968,"02","8","707 GRANT ST","","PITTSBURGH","PA","15219","BRIGHTSIDE ACADEMY","2158788104","999999","","","","","N","","","","","","N","","1","01766389","11"
2015072968,"05","2","4350 HADDONFIELD RD","","PENNSAUKEN","NJ","08109","MARK TRANS INC","8564018660","082000","","","","","N","","","","","","N","","2","01034073","08"
2015084464,"05","1","2840 E HEDLEY ST","","PHILA","PA","191371998","GALASSO TRUCKING SERVICE INC","2155354731","080000","","","","","N","","","","","","N","","2","00185487","08"
2015085228,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","2","","10"
2015088791,"99","1","4000 CLINE AVE","","EAST CHICAGO","IL","46312","PENSKE TRUCK LEASE","9999999999","","","","","","N","","","","","","N","","2","","08"
2015088804,"99","9","UNKNOWN ADDRESS","","UNKNOWN","ZZ","99999","UNKNOWN CARRIER","9999999999","","","","","","","","","","","","N","","2","","99"
2015092070,"99","1","971 BRIARSDALE","","HARRISBURG","PA","17109","RYDER TRUCK RENTAL LT","9999999999","014500","","","","","N","","","","","","N","","1","","05"
2015092453,"99","8","6900 MARKET ST","","UPPER DARBY","PA","99999","SEPTA","2155807460","999999","","","","","N","","","","","","N","","2","","11"
2015093025,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2015095345,"04","4","48 RAFFAELLA DR, PO BOX","","HOLLAND","PA","18966","P.SANTOS","2672285720","073280","","","","","N","","","","","006041278","N","A-6476738","4","00889384","09"
2015097626,"99","9","971 BRIARSDALE ROAD","","HARRISBURG","PA","17109","RYDER TRUCK RENTAL LT","8884897165","","","","","","N","","","","","","N","","2","00549761","02"
