"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2017070516","3","4","","","","E","01","25","MORRIS ST","4","","67"
"2017068016","3","3","","","","N","02","25","MORRIS ST","4","","67"
"2017067872","3","3","","","","S","02","25","N 6TH ST","4","","67"
"2017067862","4","3","","","","N","02","25","5TH ST","4","","67"
"2017067839","3","4","","","","N","02","25","MAGEE AV","4","","67"
"2017067902","4","3","","","","E","01","25","THOMPSON ST","4","","67"
"2017076120","4","3","","","","E","02","25","RACE ST","4","","67"
"2017067904","5","5","2010","0040","0","E","1","25","CECIL B MOORE AV","2","3","67"
"2017067754","5","5","","","","W","02","25","WYNNEFIELD AV","4","","67"
"2017067709","4","3","4006","0010","1190","N","03","35","CITY LINE LOWER BR","2","3","67"
"2017067817","4","3","","","","E","02","25","PENN ST","4","","67"
"2017067806","3","4","","","","S","02","25","MUSGRAVE ST","4","","67"
"2017067882","4","3","","","","E","01","25","MILNE ST","4","","67"
"2017067913","5","5","2002","0040","0","W","2","25","SNYDER AV","2","3","67"
"2017067885","3","4","","","","E","02","25","WYOMING AV","4","","67"
"2017067737","7","7","1011","0060","0","W","2","35","WELSH RD","2","3","67"
"2017067355","3","3","0076","3420","1637","E","3","50","SCHUYLKILL EX","1","1","67"
"2017072965","5","5","","","","N","02","25","BUIST AV","4","","67"
"2017075214","3","3","0076","3470","1401","E","3","50","SCHUYLKILL EX","1","1","67"
"2017070508","3","3","0291","0140","2334","N","2","25","BROAD ST","2","3","67"
"2017071296","3","4","","","","N","02","25","MOUNT PLEASANT AV","4","","67"
"2017072976","4","4","","","","W","01","25","BELLMORE ST","4","","67"
"2017070486","3","3","0073","0080","894","E","03","25","COTTMAN AV","2","3","67"
"2017067797","3","3","0291","0036","0","E","2","40","ISLAND AV","2","3","67"
"2017067795","3","6","","","","N","02","25","SIXTYFIFTH ST","4","","67"
"2017086158","4","3","","","","E","02","25","SPRUCE ST","4","","67"
"2017067726","3","3","1009","0121","2297","S","2","25","BUSTLETON AV","2","3","67"
"2017068000","4","4","3007","0121","534","S","2","35","KELLY DR","2","3","67"
"2017067831","3","3","0003","0060","1682","E","2","35","CHESTNUT ST","2","3","67"
"2017067582","3","3","0095","0310","1317","N","4","55","DELAWARE EX","1","1","67"
"2017067833","8","8","4002","0011","0","W","2","40","STENTON AV","2","3","67"
"2017067907","3","3","1004","0050","610","E","2","30","ERIE AV","2","3","67"
"2017067743","3","3","3005","0140","1095","N","2","35","BELMONT AV","2","3","67"
"2017067788","5","3","3010","0010","2265","E","01","25","MARKET ST","2","3","67"
"2017067742","4","4","","","","E","02","25","WYALUSING AV","4","","67"
"2017067938","5","5","3027","0010","368","N","2","25","SIXTEENTH ST","2","3","67"
"2017073335","4","3","","","","W","02","25","BUIST AV","4","","67"
"2017067851","3","3","2009","0060","1051","N","2","30","ARAMINGO AV","2","3","67"
"2017068054","3","3","3005","0140","253","N","2","35","BELMONT AV","2","3","67"
"2017068024","4","4","","","","W","02","25","WOODWARD ST","4","","67"
"2017067935","3","3","2001","0070","0","N","3","35","CHRISTOPHER COLUMBUS BL","2","3","67"
"2017067923","3","4","","","","W","02","30","THOMPSON ST","4","","67"
"2017067743","5","5","","","","W","02","25","WYNNEFIELD AV","4","","67"
